,,,upper bound,lower bound,,slow ema,fast ema,,,% return
1h,20000,15,0.996,1.004,7,71,7,227,227,187.082543370318
1h,20000,15,0.996,1.004,7,98,9,173,173,186.954804135454
1h,20000,15,0.996,1.004,7,97,17,147,147,186.930884261496
1h,20000,15,0.996,1.004,7,50,16,217,217,186.814582723225
1h,20000,15,0.996,1.004,7,78,2,334,334,186.530408022064
1h,20000,15,0.996,1.004,7,99,14,153,153,186.427248157944
1h,20000,15,0.996,1.004,7,93,22,139,139,186.410934379106
1h,20000,15,0.996,1.004,7,57,13,208,208,186.173830000575
1h,20000,15,0.996,1.004,7,87,2,309,309,186.03155636036
1h,20000,15,0.996,1.004,7,77,8,209,209,185.977815916834
1h,20000,15,0.996,1.004,7,94,42,121,121,185.773340706858
1h,20000,15,0.996,1.004,7,67,7,239,239,185.758326559248
1h,20000,15,0.996,1.004,7,64,7,252,252,185.541040870426
1h,20000,15,0.996,1.004,7,78,8,208,208,185.455530724613
1h,20000,15,0.996,1.004,7,94,7,194,194,185.43946573968
1h,20000,15,0.996,1.004,7,69,7,234,234,185.308284982081
1h,20000,15,0.996,1.004,7,97,40,117,117,185.242682587066
1h,20000,15,0.996,1.004,7,92,3,273,273,185.14643122161
1h,20000,15,0.996,1.004,7,95,8,186,186,184.920691021345
1h,20000,15,0.996,1.004,7,50,10,251,251,184.883765333575
1h,20000,15,0.996,1.004,7,95,19,141,141,184.807545707439
1h,20000,15,0.996,1.004,7,88,2,311,311,184.719681197502
1h,20000,15,0.996,1.004,7,56,10,238,238,184.651677356088
1h,20000,15,0.996,1.004,7,73,12,187,187,184.435582823861
1h,20000,15,0.996,1.004,7,92,21,145,145,184.2721208697
1h,20000,15,0.996,1.004,7,85,7,215,215,184.159442683597
1h,20000,15,0.996,1.004,7,74,9,203,203,184.147552714577
1h,20000,15,0.996,1.004,7,94,3,267,267,184.128199441375
1h,20000,15,0.996,1.004,7,85,6,224,224,184.075028026055
1h,20000,15,0.996,1.004,7,68,11,205,205,184.055202126508
1h,20000,15,0.996,1.004,7,94,22,138,138,183.997721192633
1h,20000,15,0.996,1.004,7,52,18,205,205,183.967672802711
1h,20000,15,0.996,1.004,7,56,8,251,251,183.861297182483
1h,20000,15,0.996,1.004,7,86,25,137,137,183.827250060627
1h,20000,15,0.996,1.004,7,68,9,220,220,183.750636540534
1h,20000,15,0.996,1.004,7,98,22,131,131,183.74056361389
1h,20000,15,0.996,1.004,7,81,4,258,258,183.668130495558
1h,20000,15,0.996,1.004,7,72,9,212,212,183.655436462895
1h,20000,15,0.996,1.004,7,87,26,138,138,183.641962862217
1h,20000,15,0.996,1.004,7,86,4,253,253,183.569335580418
1h,20000,15,0.996,1.004,7,89,4,249,249,183.554860233974
1h,20000,15,0.996,1.004,7,51,18,208,208,183.464539286063
1h,20000,15,0.996,1.004,7,58,13,206,206,183.392665269513
1h,20000,15,0.996,1.004,7,99,9,173,173,183.321832160368
1h,20000,15,0.996,1.004,7,96,18,144,144,183.181381094154
1h,20000,15,0.996,1.004,7,96,19,140,140,183.11772996412
1h,20000,15,0.996,1.004,7,90,1,380,380,182.877838602582
1h,20000,15,0.996,1.004,7,75,2,342,342,182.80198896233
1h,20000,15,0.996,1.004,7,74,11,189,189,182.594728313261
1h,20000,15,0.996,1.004,7,61,13,200,200,182.500759818424
1h,20000,15,0.996,1.004,7,68,13,193,193,182.199409092124
1h,20000,15,0.996,1.004,7,93,21,143,143,182.138312926996
1h,20000,15,0.996,1.004,7,52,13,223,223,182.10754918127
1h,20000,15,0.996,1.004,7,61,9,228,228,181.906060764897
1h,20000,15,0.996,1.004,7,84,26,144,144,181.901148033215
1h,20000,15,0.996,1.004,7,70,13,189,189,181.779222227812
1h,20000,15,0.996,1.004,7,67,12,202,202,181.693201858399
1h,20000,15,0.996,1.004,7,72,11,196,196,181.691891054297
1h,20000,15,0.996,1.004,7,59,9,228,228,181.252873473135
1h,20000,15,0.996,1.004,7,61,10,220,220,181.208906939145
1h,20000,15,0.996,1.004,7,51,13,222,222,180.827876913214
1h,20000,15,0.996,1.004,7,95,47,120,120,180.756246959838
1h,20000,15,0.996,1.004,7,88,21,139,139,180.736485364748
1h,20000,15,0.996,1.004,7,99,16,147,147,180.651388188299
1h,20000,15,0.996,1.004,7,93,7,194,194,180.303632393218
1h,20000,15,0.996,1.004,7,68,7,235,235,180.250993515014
1h,20000,15,0.996,1.004,7,67,8,227,227,180.238668105424
1h,20000,15,0.996,1.004,7,56,7,261,261,180.153494051209
1h,20000,15,0.996,1.004,7,83,2,320,320,180.124263283535
1h,20000,15,0.996,1.004,7,95,17,149,149,180.122290401817
1h,20000,15,0.996,1.004,7,67,11,209,209,179.984150233438
1h,20000,15,0.996,1.004,7,88,25,141,141,179.86191918745
1h,20000,15,0.996,1.004,7,73,10,199,199,179.696510394043
1h,20000,15,0.996,1.004,7,60,10,224,224,179.676016703429
1h,20000,15,0.996,1.004,7,88,5,234,234,179.609869145637
1h,20000,15,0.996,1.004,7,94,21,139,139,179.39985150036
1h,20000,15,0.996,1.004,7,87,22,142,142,179.198846704911
1h,20000,15,0.996,1.004,7,96,42,119,119,179.181044562358
1h,20000,15,0.996,1.004,7,93,3,267,267,179.118051590233
1h,20000,15,0.996,1.004,7,85,24,143,143,179.078281760543
1h,20000,15,0.996,1.004,7,93,18,150,150,178.905041278117
1h,20000,15,0.996,1.004,7,88,4,252,252,178.770999663054
1h,20000,15,0.996,1.004,7,56,17,199,199,178.680867934599
1h,20000,15,0.996,1.004,7,83,8,202,202,178.583876554733
1h,20000,15,0.996,1.004,7,98,16,148,148,178.55329591464
1h,20000,15,0.996,1.004,7,54,12,227,227,178.53720927181
1h,20000,15,0.996,1.004,7,59,16,189,189,178.249499177526
1h,20000,15,0.996,1.004,7,88,1,372,372,178.249359893572
1h,20000,15,0.996,1.004,7,69,12,193,193,177.966903899553
1h,20000,15,0.996,1.004,7,97,16,151,151,177.928060534842
1h,20000,15,0.996,1.004,7,84,1,379,379,177.918451889338
1h,20000,15,0.996,1.004,7,73,11,192,192,177.854275348643
1h,20000,15,0.996,1.004,7,91,3,278,278,177.68334607231
1h,20000,15,0.996,1.004,7,96,41,116,116,177.633582291319
1h,20000,15,0.996,1.004,7,72,7,227,227,177.632735072845
1h,20000,15,0.996,1.004,7,88,24,141,141,177.617752697781
1h,20000,15,0.996,1.004,7,74,7,224,224,177.603046959786
1h,20000,15,0.996,1.004,7,94,17,151,151,177.543286822278
1h,20000,15,0.996,1.004,7,76,9,202,202,177.445058564612
1h,20000,15,0.996,1.004,7,67,10,214,214,177.403183063758
1h,20000,15,0.996,1.004,7,94,19,142,142,177.366230723221
1h,20000,15,0.996,1.004,7,98,41,116,116,177.322581483038
1h,20000,15,0.996,1.004,7,97,9,176,176,177.315081446952
1h,20000,15,0.996,1.004,7,99,15,149,149,177.297069506967
1h,20000,15,0.996,1.004,7,62,13,201,201,177.187033904512
1h,20000,15,0.996,1.004,7,70,12,193,193,177.177376343035
1h,20000,15,0.996,1.004,7,78,3,290,290,177.153927093224
1h,20000,15,0.996,1.004,7,65,8,236,236,177.118736022467
1h,20000,15,0.996,1.004,7,83,27,141,141,177.033869829313
1h,20000,15,0.996,1.004,7,60,9,231,231,176.899164375117
1h,20000,15,0.996,1.004,7,50,13,227,227,176.828498902597
1h,20000,15,0.996,1.004,7,99,22,132,132,176.757735497138
1h,20000,15,0.996,1.004,7,63,13,202,202,176.734383983652
1h,20000,15,0.996,1.004,7,95,41,120,120,176.731291721012
1h,20000,15,0.996,1.004,7,94,48,121,121,176.729948657366
1h,20000,15,0.996,1.004,7,65,12,203,203,176.645895298735
1h,20000,15,0.996,1.004,7,89,21,139,139,176.630025849869
1h,20000,15,0.996,1.004,7,86,1,369,369,176.605368121929
1h,20000,15,0.996,1.004,7,66,12,204,204,176.594128850566
1h,20000,15,0.996,1.004,7,50,11,239,239,176.468449728056
1h,20000,15,0.996,1.004,7,75,9,201,201,176.460398250193
1h,20000,15,0.996,1.004,7,94,47,122,122,176.386428371197
1h,20000,15,0.996,1.004,7,90,21,144,144,176.065426054554
1h,20000,15,0.996,1.004,7,74,12,184,184,176.050517066387
1h,20000,15,0.996,1.004,7,98,10,165,165,176.030662363052
1h,20000,15,0.996,1.004,7,99,21,133,133,175.879950007481
1h,20000,15,0.996,1.004,7,50,9,261,261,175.869584332742
1h,20000,15,0.996,1.004,7,85,8,202,202,175.844455474851
1h,20000,15,0.996,1.004,7,94,18,144,144,175.608653797124
1h,20000,15,0.996,1.004,7,73,7,226,226,175.589087176613
1h,20000,15,0.996,1.004,7,87,1,370,370,175.372299417222
1h,20000,15,0.996,1.004,7,93,41,121,121,175.241638406868
1h,20000,15,0.996,1.004,7,82,2,327,327,175.048861645351
1h,20000,15,0.996,1.004,7,96,11,164,164,174.956580624408
1h,20000,15,0.996,1.004,7,94,40,119,119,174.902877828096
1h,20000,15,0.996,1.004,7,93,17,156,156,174.843551575514
1h,20000,15,0.996,1.004,7,93,19,147,147,174.817895260515
1h,20000,15,0.996,1.004,7,50,5,311,311,174.803944637695
1h,20000,15,0.996,1.004,7,99,40,115,115,174.658298035345
1h,20000,15,0.996,1.004,7,97,44,118,118,174.631521860998
1h,20000,15,0.996,1.004,7,79,3,286,286,174.611647684358
1h,20000,15,0.996,1.004,7,86,23,140,140,174.546207344293
1h,20000,15,0.996,1.004,7,71,11,199,199,174.539997927917
1h,20000,15,0.996,1.004,7,96,17,150,150,174.440237793947
1h,20000,15,0.996,1.004,7,94,45,119,119,174.43800446854
1h,20000,15,0.996,1.004,7,55,19,195,195,174.376089856863
1h,20000,15,0.996,1.004,7,99,11,161,161,173.915618755748
1h,20000,15,0.996,1.004,7,95,40,119,119,173.910290717614
1h,20000,15,0.996,1.004,7,57,16,200,200,173.899034153902
1h,20000,15,0.996,1.004,7,55,20,196,196,173.804689103947
1h,20000,15,0.996,1.004,7,62,10,223,223,173.796317375356
1h,20000,15,0.996,1.004,7,67,13,190,190,173.654139151242
1h,20000,15,0.996,1.004,7,51,11,232,232,173.60422718458
1h,20000,15,0.996,1.004,7,65,10,217,217,173.541507607612
1h,20000,15,0.996,1.004,7,96,16,151,151,173.489862990561
1h,20000,15,0.996,1.004,7,83,26,144,144,173.451717724608
1h,20000,15,0.996,1.004,7,76,2,342,342,173.358922013837
1h,20000,15,0.996,1.004,7,55,7,262,262,173.183331890969
1h,20000,15,0.996,1.004,7,96,45,114,114,172.790452671455
1h,20000,15,0.996,1.004,7,94,41,121,121,172.696898369991
1h,20000,15,0.996,1.004,7,67,9,217,217,172.607296101728
1h,20000,15,0.996,1.004,7,57,11,225,225,172.539999850839
1h,20000,15,0.996,1.004,7,91,21,145,145,172.524204670432
1h,20000,15,0.996,1.004,7,75,10,195,195,172.470857613772
1h,20000,15,0.996,1.004,7,94,20,145,145,172.402828373503
1h,20000,15,0.996,1.004,7,94,44,116,116,172.349460096624
1h,20000,15,0.996,1.004,7,55,12,226,226,171.57073280442
1h,20000,15,0.996,1.004,7,97,42,117,117,171.459878031411
1h,20000,15,0.996,1.004,7,98,14,153,153,171.36526106964
1h,20000,15,0.996,1.004,7,81,2,332,332,171.23566719743
1h,20000,15,0.996,1.004,7,85,26,141,141,171.204930871794
1h,20000,15,0.996,1.004,7,89,24,141,141,171.079504702663
1h,20000,15,0.996,1.004,7,59,11,215,215,170.920218451806
1h,20000,15,0.996,1.004,7,85,2,323,323,170.778359126814
1h,20000,15,0.996,1.004,7,77,2,335,335,170.70374276331
1h,20000,15,0.996,1.004,7,52,11,242,242,170.69291524191
1h,20000,15,0.996,1.004,7,96,46,116,116,170.685095365479
1h,20000,15,0.996,1.004,7,89,25,141,141,170.576763690931
1h,20000,15,0.996,1.004,7,82,27,143,143,170.563784026322
1h,20000,15,0.996,1.004,7,90,3,277,277,170.524178953579
1h,20000,15,0.996,1.004,7,82,3,284,284,170.464175449829
1h,20000,15,0.996,1.004,7,57,9,240,240,170.462325572626
1h,20000,15,0.996,1.004,7,53,18,206,206,170.325834964315
1h,20000,15,0.996,1.004,7,54,9,253,253,170.161470702568
1h,20000,15,0.996,1.004,7,56,11,231,231,169.985925994035
1h,20000,15,0.996,1.004,7,94,9,184,184,169.87113354708
1h,20000,15,0.996,1.004,7,98,15,148,148,169.825543986978
1h,20000,15,0.996,1.004,7,74,10,206,206,169.733908057635
1h,20000,15,0.996,1.004,7,97,46,114,114,169.731722510873
1h,20000,15,0.996,1.004,7,88,3,280,280,169.695693480688
1h,20000,15,0.996,1.004,7,59,10,226,226,169.6764616965
1h,20000,15,0.996,1.004,7,55,10,245,245,169.668143406019
1h,20000,15,0.996,1.004,7,97,10,169,169,169.66786058144
1h,20000,15,0.996,1.004,7,68,12,197,197,169.65020576208
1h,20000,15,0.996,1.004,7,93,9,186,186,169.633855955904
1h,20000,15,0.996,1.004,7,99,42,114,114,169.627148267014
1h,20000,15,0.996,1.004,7,86,24,139,139,169.572501078883
1h,20000,15,0.996,1.004,7,92,8,188,188,169.437408303492
1h,20000,15,0.996,1.004,7,90,24,135,135,169.31347606992
1h,20000,15,0.996,1.004,7,86,22,143,143,169.27216743132
1h,20000,15,0.996,1.004,7,93,43,124,124,169.223719877225
1h,20000,15,0.996,1.004,7,95,18,145,145,169.147986881331
1h,20000,15,0.996,1.004,7,70,11,201,201,169.037591462458
1h,20000,15,0.996,1.004,7,84,24,147,147,168.885327778736
1h,20000,15,0.996,1.004,7,58,9,231,231,168.681884324636
1h,20000,15,0.996,1.004,7,52,10,249,249,168.629062655649
1h,20000,15,0.996,1.004,7,84,2,323,323,168.532988554752
1h,20000,15,0.996,1.004,7,85,22,143,143,168.435556379795
1h,20000,15,0.996,1.004,7,57,12,217,217,168.380879022209
1h,20000,15,0.996,1.004,7,95,42,121,121,168.34013658878
1h,20000,15,0.996,1.004,7,85,18,153,153,168.296753206469
1h,20000,15,0.996,1.004,7,84,27,142,142,168.272972043624
1h,20000,15,0.996,1.004,7,60,12,210,210,168.265190983044
1h,20000,15,0.996,1.004,7,92,41,123,123,168.130951492274
1h,20000,15,0.996,1.004,7,77,9,202,202,168.079213251369
1h,20000,15,0.996,1.004,7,94,11,170,170,168.010649801273
1h,20000,15,0.996,1.004,7,86,8,198,198,167.993542222451
1h,20000,15,0.996,1.004,7,80,4,264,264,167.947848860706
1h,20000,15,0.996,1.004,7,81,26,144,144,167.74005736934
1h,20000,15,0.996,1.004,7,54,7,267,267,167.687244189424
1h,20000,15,0.996,1.004,7,92,20,148,148,167.580164160658
1h,20000,15,0.996,1.004,7,58,10,228,228,167.439893341204
1h,20000,15,0.996,1.004,7,71,12,195,195,167.396492923298
1h,20000,15,0.996,1.004,7,97,45,117,117,167.384359821041
1h,20000,15,0.996,1.004,7,89,3,279,279,167.343368749735
1h,20000,15,0.996,1.004,7,88,19,151,151,167.334828195329
1h,20000,15,0.996,1.004,7,69,13,190,190,167.290590089769
1h,20000,15,0.996,1.004,7,59,12,214,214,167.22261365944
1h,20000,15,0.996,1.004,7,93,11,173,173,167.171509324226
1h,20000,15,0.996,1.004,7,75,11,189,189,167.017628028113
1h,20000,15,0.996,1.004,7,93,16,158,158,166.88120091005
1h,20000,15,0.996,1.004,7,86,26,140,140,166.78744098923
1h,20000,15,0.996,1.004,7,80,3,286,286,166.720343195341
1h,20000,15,0.996,1.004,7,94,10,178,178,166.679712726924
1h,20000,15,0.996,1.004,7,79,8,208,208,166.618449382834
1h,20000,15,0.996,1.004,7,59,17,189,189,166.505288661829
1h,20000,15,0.996,1.004,7,66,13,195,195,166.446356059188
1h,20000,15,0.996,1.004,7,97,11,164,164,166.395178322611
1h,20000,15,0.996,1.004,7,82,26,144,144,166.292846892898
1h,20000,15,0.996,1.004,7,96,15,153,153,166.284544419977
1h,20000,15,0.996,1.004,7,90,19,148,148,166.20765464898
1h,20000,15,0.996,1.004,7,66,9,223,223,166.191841085237
1h,20000,15,0.996,1.004,7,69,11,203,203,166.175121269844
1h,20000,15,0.996,1.004,7,90,25,138,138,166.125635880001
1h,20000,15,0.996,1.004,7,68,10,213,213,165.99463995636
1h,20000,15,0.996,1.004,7,99,41,116,116,165.931821931834
1h,20000,15,0.996,1.004,7,52,9,257,257,165.867858385816
1h,20000,15,0.996,1.004,7,95,16,152,152,165.703243358031
1h,20000,15,0.996,1.004,7,99,39,115,115,165.687332244004
1h,20000,15,0.996,1.004,7,62,15,191,191,165.652058945401
1h,20000,15,0.996,1.004,7,53,7,274,274,165.420413355687
1h,20000,15,0.996,1.004,7,95,12,164,164,165.395174740199
1h,20000,15,0.996,1.004,7,91,8,192,192,165.28444442496
1h,20000,15,0.996,1.004,7,95,38,119,119,165.218135741442
1h,20000,15,0.996,1.004,7,95,11,171,171,165.14476467707
1h,20000,15,0.996,1.004,7,93,20,148,148,165.09070495482
1h,20000,15,0.996,1.004,7,98,42,114,114,165.077318958376
1h,20000,15,0.996,1.004,7,91,40,124,124,165.069134200254
1h,20000,15,0.996,1.004,7,56,20,197,197,165.03281356334
1h,20000,15,0.996,1.004,7,53,9,257,257,164.912987320353
1h,20000,15,0.996,1.004,7,55,9,251,251,164.879292688961
1h,20000,15,0.996,1.004,7,89,1,375,375,164.758427912548
1h,20000,15,0.996,1.004,7,97,15,151,151,164.667271122865
1h,20000,15,0.996,1.004,7,99,23,130,130,164.62948334996
1h,20000,15,0.996,1.004,7,93,47,123,123,164.618099032013
1h,20000,15,0.996,1.004,7,92,40,126,126,164.587615998488
1h,20000,15,0.996,1.004,7,85,1,374,374,164.577159835769
1h,20000,15,0.996,1.004,7,95,45,118,118,164.531071230641
1h,20000,15,0.996,1.004,7,92,18,152,152,164.2826414406
1h,20000,15,0.996,1.004,7,63,15,190,190,164.193970927879
1h,20000,15,0.996,1.004,7,51,10,254,254,164.124369367278
1h,20000,15,0.996,1.004,7,90,8,192,192,164.103084896523
1h,20000,15,0.996,1.004,7,71,13,190,190,164.012819733103
1h,20000,15,0.996,1.004,7,92,24,138,138,163.993268168654
1h,20000,15,0.996,1.004,7,93,44,119,119,163.988317437522
1h,20000,15,0.996,1.004,7,87,8,197,197,163.959912070449
1h,20000,15,0.996,1.004,7,87,21,142,142,163.94088921086
1h,20000,15,0.996,1.004,7,82,8,203,203,163.873248457503
1h,20000,15,0.996,1.004,7,91,24,135,135,163.723856227369
1h,20000,15,0.996,1.004,7,97,39,116,116,163.561183283318
1h,20000,15,0.996,1.004,7,58,12,215,215,163.056400309649
1h,20000,15,0.996,1.004,7,64,13,199,199,163.018005735595
1h,20000,15,0.996,1.004,7,75,12,185,185,162.897242167333
1h,20000,15,0.996,1.004,7,96,10,171,171,162.719071141925
1h,20000,15,0.996,1.004,7,95,14,158,158,162.602423863084
1h,20000,15,0.996,1.004,7,86,17,163,163,162.368727273267
1h,20000,15,0.996,1.004,7,91,25,136,136,162.292634461288
1h,20000,15,0.996,1.004,7,57,17,197,197,162.219031409489
1h,20000,15,0.996,1.004,7,93,24,135,135,162.102595010171
1h,20000,15,0.996,1.004,7,98,39,116,116,162.078681138651
1h,20000,15,0.996,1.004,7,94,16,155,155,162.059356721912
1h,20000,15,0.996,1.004,7,60,11,215,215,162.022827000183
1h,20000,15,0.996,1.004,7,99,43,114,114,161.878305299077
1h,20000,15,0.996,1.004,7,86,19,150,150,161.839619128501
1h,20000,15,0.996,1.004,7,92,48,126,126,161.834499155103
1h,20000,15,0.996,1.004,7,92,43,124,124,161.753257486559
1h,20000,15,0.996,1.004,7,55,8,258,258,161.752982435266
1h,20000,15,0.996,1.004,7,92,23,138,138,161.60631535587
1h,20000,15,0.996,1.004,7,58,11,221,221,161.563126744497
1h,20000,15,0.996,1.004,7,84,8,205,205,161.544247810294
1h,20000,15,0.996,1.004,7,80,2,335,335,161.53385474326
1h,20000,15,0.996,1.004,7,97,41,119,119,161.440216790542
1h,20000,15,0.996,1.004,7,58,17,192,192,161.387915192561
1h,20000,15,0.996,1.004,7,98,11,164,164,161.22856533961
1h,20000,15,0.996,1.004,7,91,19,150,150,161.155972119632
1h,20000,15,0.996,1.004,7,84,23,143,143,161.144862692451
1h,20000,15,0.996,1.004,7,56,12,215,215,161.134652831137
1h,20000,15,0.996,1.004,7,79,37,141,141,161.114137116449
1h,20000,15,0.996,1.004,7,85,19,152,152,161.06891985727
1h,20000,15,0.996,1.004,7,91,20,145,145,161.029064966347
1h,20000,15,0.996,1.004,7,95,37,121,121,161.016229776796
1h,20000,15,0.996,1.004,7,93,8,188,188,160.926835477909
1h,20000,15,0.996,1.004,7,88,15,167,167,160.900977853154
1h,20000,15,0.996,1.004,7,95,25,135,135,160.798408389406
1h,20000,15,0.996,1.004,7,91,39,124,124,160.79053797919
1h,20000,15,0.996,1.004,7,97,14,153,153,160.738493196622
1h,20000,15,0.996,1.004,7,61,16,187,187,160.576904699161
1h,20000,15,0.996,1.004,7,94,8,185,185,160.56044419586
1h,20000,15,0.996,1.004,7,87,19,149,149,160.540095863263
1h,20000,15,0.996,1.004,7,87,15,166,166,160.381144686287
1h,20000,15,0.996,1.004,7,79,12,176,176,160.335151678274
1h,20000,15,0.996,1.004,7,64,15,190,190,160.093068655683
1h,20000,15,0.996,1.004,7,51,12,231,231,159.852831051994
1h,20000,15,0.996,1.004,7,94,46,121,121,159.838640579567
1h,20000,15,0.996,1.004,7,53,19,206,206,159.825933934019
1h,20000,15,0.996,1.004,7,98,25,132,132,159.807907611137
1h,20000,15,0.996,1.004,7,85,17,160,160,159.649057889108
1h,20000,15,0.996,1.004,7,90,20,147,147,159.645345438676
1h,20000,15,0.996,1.004,7,86,18,156,156,159.613262149132
1h,20000,15,0.996,1.004,7,54,11,238,238,159.585146544
1h,20000,15,0.996,1.004,7,90,26,137,137,159.555780480825
1h,20000,15,0.996,1.004,7,93,48,125,125,159.554937588241
1h,20000,15,0.996,1.004,7,96,12,164,164,159.54479640643
1h,20000,15,0.996,1.004,7,96,44,119,119,159.510187240475
1h,20000,15,0.996,1.004,7,92,17,159,159,159.356769309837
1h,20000,15,0.996,1.004,7,58,16,196,196,159.330534311222
1h,20000,15,0.996,1.004,7,94,12,166,166,159.312269977983
1h,20000,15,0.996,1.004,7,50,12,230,230,159.294272236358
1h,20000,15,0.996,1.004,7,89,26,137,137,159.229447711093
1h,20000,15,0.996,1.004,7,92,19,149,149,159.208707491636
1h,20000,15,0.996,1.004,7,66,14,191,191,159.054608375775
1h,20000,15,0.996,1.004,7,95,44,117,117,158.968351554586
1h,20000,15,0.996,1.004,7,52,7,272,272,158.840835959749
1h,20000,15,0.996,1.004,7,93,45,122,122,158.602607735165
1h,20000,15,0.996,1.004,7,95,46,120,120,158.435063343706
1h,20000,15,0.996,1.004,7,54,10,246,246,158.41990045563
1h,20000,15,0.996,1.004,7,88,16,164,164,158.281774967687
1h,20000,15,0.996,1.004,7,92,9,185,185,158.023456890057
1h,20000,15,0.996,1.004,7,77,10,193,193,158.008845979633
1h,20000,15,0.996,1.004,7,94,25,134,134,157.958123886229
1h,20000,15,0.996,1.004,7,55,11,233,233,157.933887370712
1h,20000,15,0.996,1.004,7,88,26,138,138,157.832894272569
1h,20000,15,0.996,1.004,7,51,9,262,262,157.788190417411
1h,20000,15,0.996,1.004,7,89,19,150,150,157.775151610582
1h,20000,15,0.996,1.004,7,93,46,123,123,157.682632487879
1h,20000,15,0.996,1.004,7,83,25,148,148,157.654164033338
1h,20000,15,0.996,1.004,7,53,10,248,248,157.616185674249
1h,20000,15,0.996,1.004,7,95,10,178,178,157.572101797759
1h,20000,15,0.996,1.004,7,95,15,156,156,157.55001840209
1h,20000,15,0.996,1.004,7,53,11,239,239,157.527925111445
1h,20000,15,0.996,1.004,7,87,17,163,163,157.473315194365
1h,20000,15,0.996,1.004,7,67,14,189,189,157.443696902255
1h,20000,15,0.996,1.004,7,55,18,200,200,157.415050290419
1h,20000,15,0.996,1.004,7,80,8,207,207,157.412468574369
1h,20000,15,0.996,1.004,7,92,47,127,127,157.407289184776
1h,20000,15,0.996,1.004,7,88,20,144,144,157.392011900478
1h,20000,15,0.996,1.004,7,93,26,136,136,157.11898794439
1h,20000,15,0.996,1.004,7,76,10,199,199,157.107229260035
1h,20000,15,0.996,1.004,7,89,12,171,171,157.100327967303
1h,20000,15,0.996,1.004,7,97,34,121,121,157.088599268768
1h,20000,15,0.996,1.004,7,79,38,139,139,157.042974976414
1h,20000,15,0.996,1.004,7,92,16,160,160,156.846397407317
1h,20000,15,0.996,1.004,7,90,40,127,127,156.837001836572
1h,20000,15,0.996,1.004,7,89,15,165,165,156.66444740724
1h,20000,15,0.996,1.004,7,99,12,161,161,156.63994403621
1h,20000,15,0.996,1.004,7,84,9,192,192,156.588694171753
1h,20000,15,0.996,1.004,7,78,9,200,200,156.458783515487
1h,20000,15,0.996,1.004,7,71,10,206,206,156.443171912844
1h,20000,15,0.996,1.004,7,99,38,111,111,156.413892151643
1h,20000,15,0.996,1.004,7,74,13,178,178,156.35215075653
1h,20000,15,0.996,1.004,7,99,13,157,157,156.287513758936
1h,20000,15,0.996,1.004,7,96,37,118,118,156.202642021659
1h,20000,15,0.996,1.004,7,72,13,186,186,156.082632568358
1h,20000,15,0.996,1.004,7,89,8,193,193,156.070022013164
1h,20000,15,0.996,1.004,7,88,8,195,195,155.964435706407
1h,20000,15,0.996,1.004,7,56,19,195,195,155.856556883388
1h,20000,15,0.996,1.004,7,82,25,147,147,155.828092002954
1h,20000,15,0.996,1.004,7,95,43,120,120,155.756457846288
1h,20000,15,0.996,1.004,7,80,27,146,146,155.727539858218
1h,20000,15,0.996,1.004,7,90,15,165,165,155.663161085193
1h,20000,15,0.996,1.004,7,89,16,164,164,155.54252658357
1h,20000,15,0.996,1.004,7,95,35,119,119,155.468742168013
1h,20000,15,0.996,1.004,7,50,8,272,272,155.453353262614
1h,20000,15,0.996,1.004,7,92,38,120,120,155.410664689327
1h,20000,15,0.996,1.004,7,93,40,118,118,155.346826457607
1h,20000,15,0.996,1.004,7,76,11,189,189,155.317462324461
1h,20000,15,0.996,1.004,7,52,12,233,233,155.247547535576
1h,20000,15,0.996,1.004,7,81,3,290,290,155.242356775614
1h,20000,15,0.996,1.004,7,97,47,115,115,154.947121234621
1h,20000,15,0.996,1.004,7,91,42,131,131,154.936650059088
1h,20000,15,0.996,1.004,7,89,20,145,145,154.812335081313
1h,20000,15,0.996,1.004,7,92,44,124,124,154.794073051948
1h,20000,15,0.996,1.004,7,55,21,196,196,154.723912464744
1h,20000,15,0.996,1.004,7,50,7,282,282,154.71333524151
1h,20000,15,0.996,1.004,7,96,39,115,115,154.637895314922
1h,20000,15,0.996,1.004,7,94,37,122,122,154.604200631475
1h,20000,15,0.996,1.004,7,51,19,208,208,154.585986296214
1h,20000,15,0.996,1.004,7,57,10,231,231,154.546813497247
1h,20000,15,0.996,1.004,7,80,26,144,144,154.4356578816
1h,20000,15,0.996,1.004,7,97,13,157,157,154.41815883743
1h,20000,15,0.996,1.004,7,98,44,116,116,154.400027330515
1h,20000,15,0.996,1.004,7,94,39,123,123,154.189062923017
1h,20000,15,0.996,1.004,7,96,13,158,158,154.169914756819
1h,20000,15,0.996,1.004,7,96,14,153,153,154.161731321998
1h,20000,15,0.996,1.004,7,84,17,159,159,153.794342020201
1h,20000,15,0.996,1.004,7,95,26,134,134,153.737081312505
1h,20000,15,0.996,1.004,7,88,17,163,163,153.634977202404
1h,20000,15,0.996,1.004,7,93,38,116,116,153.551139089174
1h,20000,15,0.996,1.004,7,82,14,169,169,153.452152693072
1h,20000,15,0.996,1.004,7,54,18,203,203,153.413630705705
1h,20000,15,0.996,1.004,7,97,43,120,120,153.356189459183
1h,20000,15,0.996,1.004,7,99,36,116,116,153.317696546379
1h,20000,15,0.996,1.004,7,94,26,137,137,153.232727085108
