,,,upper bound,lower bound,,slow ema,fast ema,,,% return
1h,20000,15,0.996,1.004,7,59,7,247,247,229.555514276392
1h,20000,15,0.996,1.004,7,55,5,287,287,229.118945854154
1h,20000,15,0.996,1.004,7,73,1,408,408,229.100361188674
1h,20000,15,0.996,1.004,7,93,6,203,203,228.755645962165
1h,20000,15,0.996,1.004,7,77,6,232,232,228.701061933228
1h,20000,15,0.996,1.004,7,98,5,213,213,228.68348428264
1h,20000,15,0.996,1.004,7,68,3,308,308,228.65843778009
1h,20000,15,0.996,1.004,7,64,1,442,442,228.189817487887
1h,20000,15,0.996,1.004,7,53,14,213,213,227.843222274498
1h,20000,15,0.996,1.004,7,57,4,305,305,227.408328138698
1h,20000,15,0.996,1.004,7,53,2,396,396,227.405108011471
1h,20000,15,0.996,1.004,7,51,17,209,209,227.360382391295
1h,20000,15,0.996,1.004,7,99,4,235,235,227.151822734423
1h,20000,15,0.996,1.004,7,54,15,209,209,227.096735189322
1h,20000,15,0.996,1.004,7,67,5,259,259,226.747405989671
1h,20000,15,0.996,1.004,7,55,6,274,274,226.692902754646
1h,20000,15,0.996,1.004,7,65,5,267,267,226.439216242648
1h,20000,15,0.996,1.004,7,70,3,298,298,226.275519575228
1h,20000,15,0.996,1.004,7,63,6,265,265,226.208071600667
1h,20000,15,0.996,1.004,7,56,15,206,206,226.158109612166
1h,20000,15,0.996,1.004,7,75,3,291,291,225.614608231032
1h,20000,15,0.996,1.004,7,51,2,401,401,225.387405534197
1h,20000,15,0.996,1.004,7,94,5,214,214,225.247562404109
1h,20000,15,0.996,1.004,7,55,16,202,202,225.180756756729
1h,20000,15,0.996,1.004,7,77,7,223,223,224.95875660803
1h,20000,15,0.996,1.004,7,95,4,241,241,224.55767533081
1h,20000,15,0.996,1.004,7,66,1,433,433,224.161447287332
1h,20000,15,0.996,1.004,7,50,15,218,218,223.91111814834
1h,20000,15,0.996,1.004,7,99,5,214,214,223.837588584158
1h,20000,15,0.996,1.004,7,98,4,236,236,223.809859616085
1h,20000,15,0.996,1.004,7,97,5,215,215,223.429374564723
1h,20000,15,0.996,1.004,7,67,3,315,315,222.968867527833
1h,20000,15,0.996,1.004,7,95,5,215,215,222.823288444215
1h,20000,15,0.996,1.004,7,63,1,438,438,222.685885456585
1h,20000,15,0.996,1.004,7,72,2,341,341,222.618579907214
1h,20000,15,0.996,1.004,7,65,1,439,439,222.561897433996
1h,20000,15,0.996,1.004,7,62,1,446,446,222.425997155684
1h,20000,15,0.996,1.004,7,72,4,266,266,222.373767863064
1h,20000,15,0.996,1.004,7,69,3,305,305,222.322176232441
1h,20000,15,0.996,1.004,7,68,4,283,283,221.794309447028
1h,20000,15,0.996,1.004,7,96,21,135,135,221.700422662154
1h,20000,15,0.996,1.004,7,93,5,216,216,221.57659453144
1h,20000,15,0.996,1.004,7,81,6,221,221,221.535398128953
1h,20000,15,0.996,1.004,7,94,2,307,307,221.034909069032
1h,20000,15,0.996,1.004,7,79,7,215,215,220.917192539221
1h,20000,15,0.996,1.004,7,52,5,305,305,220.879455972703
1h,20000,15,0.996,1.004,7,66,6,256,256,220.807016464986
1h,20000,15,0.996,1.004,7,67,6,250,250,220.655877812827
