

using old -1 starting from 2 method, these were the best performing sma trendlines


best fast sma and ema pairs :
1, 57
1, 56
3, 60


the best ones with lower buy / sell events :
4, 54
3, 66
4, 55
4, 53


top performance
			upper bound	lower bound		slow ema	fast ema			% return
1h	20000	15	0.996	1.004	7	57	1	437	437	297.282205608903
1h	20000	15	0.996	1.004	7	60	3	334	334	290.572885829057
1h	20000	15	0.996	1.004	7	56	1	443	443	287.843831922412
1h	20000	15	0.996	1.004	7	42	3	402	402	285.414791631222
1h	20000	15	0.996	1.004	7	54	4	315	315	282.753491373919
1h	20000	15	0.996	1.004	7	65	3	325	325	282.027786677921
1h	20000	15	0.996	1.004	7	30	5	431	431	280.214547260159
1h	20000	15	0.996	1.004	7	53	1	463	463	278.529804609014
1h	20000	15	0.996	1.004	7	55	1	453	453	274.314334991922
1h	20000	15	0.996	1.004	7	55	2	382	382	274.204362094195
1h	20000	15	0.996	1.004	7	66	3	316	316	273.876267511781
1h	20000	15	0.996	1.004	7	54	3	342	342	271.703517685609
1h	20000	15	0.996	1.004	7	31	4	445	445	271.469560677933
1h	20000	15	0.996	1.004	7	31	4	446	445	271.469560677933
1h	20000	15	0.996	1.004	7	36	5	370	370	270.831710042527
1h	20000	15	0.996	1.004	7	69	1	416	416	269.713842530924
1h	20000	15	0.996	1.004	7	41	3	408	408	268.961735616684
1h	20000	15	0.996	1.004	7	41	3	409	408	268.961735616684
1h	20000	15	0.996	1.004	7	32	6	384	384	268.630861119342
1h	20000	15	0.996	1.004	7	56	2	387	387	268.141254513266
1h	20000	15	0.996	1.004	7	31	5	426	426	267.782410585574
1h	20000	15	0.996	1.004	7	55	4	313	313	267.42324158918
1h	20000	15	0.996	1.004	7	59	2	387	387	267.22644802406
1h	20000	15	0.996	1.004	7	53	3	341	341	267.065490470956
1h	20000	15	0.996	1.004	7	53	4	314	314	266.911609885755
1h	20000	15	0.996	1.004	7	64	3	332	332	266.468064165875
1h	20000	15	0.996	1.004	7	31	6	397	397	265.790892159875
1h	20000	15	0.996	1.004	7	62	6	265	265	265.327981326915
1h	20000	15	0.996	1.004	7	38	4	384	384	264.182769162901
1h	20000	15	0.996	1.004	7	38	4	385	384	264.182769162901
1h	20000	15	0.996	1.004	7	63	4	297	297	263.043358250306
1h	20000	15	0.996	1.004	7	41	2	460	459	262.119249153982
1h	20000	15	0.996	1.004	7	40	3	408	408	261.670580075258
1h	20000	15	0.996	1.004	7	40	3	409	408	261.670580075258
1h	20000	15	0.996	1.004	7	60	2	384	384	260.743121960422
1h	20000	15	0.996	1.004	7	35	5	376	376	260.200464841891
1h	20000	15	0.996	1.004	7	54	1	465	465	259.910222843736
1h	20000	15	0.996	1.004	7	37	3	426	426	259.702319802007
1h	20000	15	0.996	1.004	7	37	3	427	426	259.702319802007
1h	20000	15	0.996	1.004	7	58	2	385	385	259.559299313472
1h	20000	15	0.996	1.004	7	62	4	299	299	259.334823693886
1h	20000	15	0.996	1.004	7	98	2	298	298	259.048433824584
1h	20000	15	0.996	1.004	7	34	7	350	350	258.230570915761
1h	20000	15	0.996	1.004	7	62	5	280	280	257.937004387893
1h	20000	15	0.996	1.004	7	61	6	266	266	257.349804677455
1h	20000	15	0.996	1.004	7	62	3	332	332	256.033537696924
1h	20000	15	0.996	1.004	7	99	1	355	355	255.249591306701
1h	20000	15	0.996	1.004	7	71	1	412	412	255.017374848882
1h	20000	15	0.996	1.004	7	30	4	465	465	254.915930221027























