,,,,,Sma 200,Sma 50,Sma 1,Sma 2,,,% return
1h,2000,15,0.996,1.004,190,50,20,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,9,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,40,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,40,9,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,80,20,2,35,34,6.137179175577301
1h,2000,15,0.996,1.004,190,80,20,9,35,34,6.137179175577301
1h,2000,15,0.996,1.004,190,80,40,2,35,34,6.137179175577301
1h,2000,15,0.996,1.004,190,80,40,9,35,34,6.137179175577301
1h,2000,15,0.996,1.004,190,3,20,2,79,78,1.2137197879575234
1h,2000,15,0.996,1.004,190,3,20,9,79,78,1.2137197879575234
1h,2000,15,0.996,1.004,190,3,40,2,79,78,1.2137197879575234
1h,2000,15,0.996,1.004,190,3,40,9,79,78,1.2137197879575234
1h,2000,15,0.996,1.004,201,50,20,2,42,41,-5.170817738293987
1h,2000,15,0.996,1.004,201,50,20,9,42,41,-5.170817738293987
1h,2000,15,0.996,1.004,201,50,40,2,42,41,-5.170817738293987
1h,2000,15,0.996,1.004,201,50,40,9,42,41,-5.170817738293987
1h,2000,15,0.996,1.004,201,80,20,2,36,35,-0.9090938243631941
1h,2000,15,0.996,1.004,201,80,20,9,36,35,-0.9090938243631941
1h,2000,15,0.996,1.004,201,80,40,2,36,35,-0.9090938243631941
1h,2000,15,0.996,1.004,201,80,40,9,36,35,-0.9090938243631941
1h,2000,15,0.996,1.004,201,3,20,2,78,77,1.111539921125826
1h,2000,15,0.996,1.004,201,3,20,9,78,77,1.111539921125826
1h,2000,15,0.996,1.004,201,3,40,2,78,77,1.111539921125826
1h,2000,15,0.996,1.004,201,3,40,9,78,77,1.111539921125826
1h,2000,15,0.996,1.004,2,50,20,2,93,92,-2.2785926085075903
1h,2000,15,0.996,1.004,2,50,20,9,93,92,-2.2785926085075903
1h,2000,15,0.996,1.004,2,50,40,2,93,92,-2.2785926085075903
1h,2000,15,0.996,1.004,2,50,40,9,93,92,-2.2785926085075903
1h,2000,15,0.996,1.004,2,80,20,2,76,75,-2.847126502938535
1h,2000,15,0.996,1.004,2,80,20,9,76,75,-2.847126502938535
1h,2000,15,0.996,1.004,2,80,40,2,76,75,-2.847126502938535
1h,2000,15,0.996,1.004,2,80,40,9,76,75,-2.847126502938535
1h,2000,15,0.996,1.004,190,50,20,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,9,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,40,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,40,9,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,80,20,2,35,34,6.137179175577301
1h,2000,15,0.996,1.004,190,80,20,9,35,34,6.137179175577301
1h,2000,15,0.996,1.004,190,80,40,2,35,34,6.137179175577301
1h,2000,15,0.996,1.004,190,80,40,9,35,34,6.137179175577301
1h,2000,15,0.996,1.004,201,50,20,2,42,41,-5.170817738293987
1h,2000,15,0.996,1.004,201,50,20,9,42,41,-5.170817738293987
1h,2000,15,0.996,1.004,201,50,40,2,42,41,-5.170817738293987
1h,2000,15,0.996,1.004,201,50,40,9,42,41,-5.170817738293987
1h,2000,15,0.996,1.004,201,80,20,2,36,35,-0.9090938243631941
1h,2000,15,0.996,1.004,201,80,20,9,36,35,-0.9090938243631941
1h,2000,15,0.996,1.004,201,80,40,2,36,35,-0.9090938243631941
1h,2000,15,0.996,1.004,201,80,40,9,36,35,-0.9090938243631941
1h,2000,15,0.996,1.004,190,50,20,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,21,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,2,40,39,-3.6152851377529216
