,,,,,Sma 200,Sma 50,Sma 1,Sma 2,,,% return
1h,2000,15,0.996,1.004,190,50,22,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,23,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,25,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,25,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,25,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,25,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,25,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,25,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,25,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,27,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,27,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,27,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,27,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,27,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,27,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,27,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,29,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,29,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,29,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,29,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,29,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,29,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,29,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,31,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,31,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,31,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,31,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,31,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,31,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,31,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,33,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,33,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,33,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,33,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,33,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,33,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,33,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,35,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,35,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,35,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,35,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,35,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,35,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,35,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,37,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,37,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,37,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,37,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,37,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,37,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,37,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,39,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,39,3,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,39,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,39,5,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,39,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,39,7,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,39,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,52,20,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,20,3,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,20,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,20,5,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,20,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,20,7,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,20,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,21,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,21,3,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,21,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,21,5,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,21,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,21,7,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,21,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,3,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,5,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,7,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,23,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,23,3,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,23,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,23,5,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,23,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,23,7,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,23,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,3,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,5,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,7,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,25,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,25,3,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,25,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,25,5,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,25,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,25,7,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,25,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,26,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,26,3,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,26,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,26,5,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,26,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,26,7,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,50,20,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,20,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,22,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,24,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,26,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,28,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,30,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,32,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,34,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,36,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,2,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,4,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,6,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,50,38,8,40,39,-3.6152851377529216
1h,2000,15,0.996,1.004,190,52,20,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,20,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,20,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,20,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,22,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,24,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,26,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,26,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,26,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,26,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,28,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,28,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,28,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,28,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,30,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,30,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,30,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,30,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,32,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,32,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,32,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,32,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,34,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,34,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,34,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,34,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,36,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,36,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,36,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,36,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,38,2,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,38,4,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,38,6,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,52,38,8,39,38,-4.539898359441752
1h,2000,15,0.996,1.004,190,54,20,2,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,20,4,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,20,6,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,20,8,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,22,2,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,22,4,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,22,6,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,22,8,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,24,2,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,24,4,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,24,6,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,24,8,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,26,2,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,26,4,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,26,6,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,26,8,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,28,2,38,37,-4.5096528566019085
1h,2000,15,0.996,1.004,190,54,28,4,38,37,-4.5096528566019085
