interval,lookback,rollback,buy,sell,% return
1h,1400,15,7,6,13.38346950473166
1h,4000,15,13,12,-5.125172446537929
1h,10000,15,28,27,-28.35069636497153
1h,1000,15,6,5,10.655340483983334
1h,1000,15,6,5,10.655340483983334
1h,1000,15,6,5,10.655340483983334
1h,4000,15,13,12,-5.125172446537929
1h,4000,15,13,12,-5.125172446537929
1h,10000,15,28,27,-27.54518816371071
1d,1000,15,0,0,0.0
1d,8000,15,0,0,0.0
1h,8000,15,25,24,-14.253577154414476
1h,20000,15,56,55,-12.593774018207181
1h,20000,15,139,138,-32.359356248986536
1h,20000,15,94,93,-4.3804163055907175
1h,20000,15,49,48,-19.33278477609771
1h,20000,15,105,105,-3.5261246260680834
1h,20000,15,105,105,-3.5261246260680834
1h,20000,15,202,201,-55.576450839737525
1h,20000,15,44,43,3.503051206733687
1h,20000,15,7,7,9.181323811797037
1h,20000,15,50,49,1.9969571113805484
1h,20000,15,50,49,1.9969571113805484
1h,20000,15,50,49,1.9969571113805484
1h,20000,15,50,49,1.9969571113805484
1h,20000,15,50,49,1.9969571113805484
1h,20000,15,50,49,1.9969571113805484
1h,20000,20,36,35,-0.19703621780361447
1h,20000,7,158,157,28.331315512293553
1h,20000,7,207,206,-1.1697424955736668
1h,20000,7,207,206,0.12031965823369184
1h,20000,7,205,204,-1.2991324394802661
1h,20000,7,204,203,-1.7748099980430587
1h,20000,7,202,201,-4.273339154382572
1h,20000,7,199,198,4.602277283633782
1h,20000,7,191,190,20.102644304799554
1h,20000,7,175,174,15.163627804037105
1h,20000,7,159,158,30.133989797563522
1h,20000,7,112,111,-9.608945273466452
1h,20000,7,1,0,0
1h,20000,7,1,0,0
1h,20000,7,1,0,0
1h,20000,7,1,0,0
1h,20000,7,1,0,0
