


this is the old ema program that includes the buy next day -1 starting from 2 calculations

best performing pairs :
4, 38/37/35/36/41/39
3, 38


best performers with lower transactions :
8,33








timeframe			high	low		slow ema	fast ema			% return
1h	20000	15	0.996	1.004	7	38	4	382	381	353.349981036738
1h	20000	15	0.996	1.004	7	37	4	389	388	349.367649136455
1h	20000	15	0.996	1.004	7	35	4	403	402	335.628083903936
1h	20000	15	0.996	1.004	7	38	3	425	424	334.694248464901
1h	20000	15	0.996	1.004	7	36	4	399	398	320.296156279434
1h	20000	15	0.996	1.004	7	41	4	372	371	313.630188120682
1h	20000	15	0.996	1.004	7	39	4	379	378	311.201563286966
1h	20000	15	0.996	1.004	7	39	4	379	378	311.201563286966
1h	20000	15	0.996	1.004	7	39	4	379	378	310.309262191092
1h	20000	15	0.996	1.004	7	33	8	319	318	309.373756243482
1h	20000	15	0.996	1.004	7	33	8	319	318	309.373756243482
1h	20000	15	0.996	1.004	7	40	3	415	414	307.681348829978
1h	20000	15	0.996	1.004	7	40	3	415	414	307.681348829978
1h	20000	15	0.996	1.004	7	40	4	415	414	307.681348829978
1h	20000	15	0.996	1.004	7	40	4	377	376	307.592254954018
1h	20000	15	0.996	1.004	7	40	4	377	376	307.592254954018
1h	20000	15	0.996	1.004	7	39	3	423	422	305.957476612086
1h	20000	15	0.996	1.004	7	42	4	367	366	305.018933216194
1h	20000	15	0.996	1.004	7	39	3	424	423	304.167025805266
1h	20000	15	0.996	1.004	7	39	3	424	423	304.167025805266
1h	20000	15	0.996	1.004	7	39	4	424	423	304.167025805266
1h	20000	15	0.996	1.004	7	33	6	355	354	303.123173497651
1h	20000	15	0.996	1.004	7	31	7	351	350	303.100257048158
1h	20000	15	0.996	1.004	7	31	7	351	350	303.100257048158
1h	20000	15	0.996	1.004	7	39	5	355	354	298.504222454328
1h	20000	15	0.996	1.004	7	37	3	439	438	298.160396338619
1h	20000	15	0.996	1.004	7	33	5	387	386	295.63092026605
1h	20000	15	0.996	1.004	7	40	5	348	347	293.989242285743
1h	20000	15	0.996	1.004	7	41	4	416	415	293.533826451512
1h	20000	15	0.996	1.004	7	41	3	416	415	292.679864074037
1h	20000	15	0.996	1.004	7	32	9	312	311	291.687463442327
1h	20000	15	0.996	1.004	7	32	8	327	326	286.958160073193
1h	20000	15	0.996	1.004	7	32	8	327	326	286.958160073193
1h	20000	15	0.996	1.004	7	32	6	364	363	285.788812580831
1h	20000	15	0.996	1.004	7	39	6	329	328	285.117942823462
1h	20000	15	0.996	1.004	7	30	7	358	357	284.97600090449
1h	20000	15	0.996	1.004	7	32	7	346	345	281.825687227061
1h	20000	15	0.996	1.004	7	32	7	346	345	281.825687227061
1h	20000	15	0.996	1.004	7	32	5	400	399	280.705527932817
1h	20000	15	0.996	1.004	7	44	3	403	402	280.348243840351
1h	20000	15	0.996	1.004	7	44	4	403	402	280.348243840351
1h	20000	15	0.996	1.004	7	33	7	341	340	279.964810423356
1h	20000	15	0.996	1.004	7	33	7	341	340	279.135272109494
1h	20000	15	0.996	1.004	7	31	6	377	376	278.931546125015
1h	20000	15	0.996	1.004	7	30	6	387	386	278.824043653665
1h	20000	15	0.996	1.004	7	43	4	376	375	272.563732660952
1h	20000	15	0.996	1.004	7	42	3	466	465	265.415403377278
1h	20000	15	0.996	1.004	7	30	9	324	323	265.138243693163
1h	20000	15	0.996	1.004	7	29	4	458	457	264.109435081855

