timeframe,,,high,low,,slow ema,fast ema,,,% return,,
1h,20000,15,0.996,1.004,7,38,4,382,381,353.349981036738,,using ema
1h,20000,15,0.996,1.004,7,37,4,389,388,349.367649136455,,
1h,20000,15,0.996,1.004,7,35,4,403,402,335.628083903936,,
1h,20000,15,0.996,1.004,7,38,3,425,424,334.694248464901,,
1h,20000,15,0.996,1.004,7,36,4,399,398,320.296156279434,,
1h,20000,15,0.996,1.004,7,39,4,379,378,310.309262191092,,
1h,20000,15,0.996,1.004,7,33,8,319,318,309.373756243482,,
1h,20000,15,0.996,1.004,7,33,8,319,318,309.373756243482,,
1h,20000,15,0.996,1.004,7,39,3,423,422,305.957476612086,,
1h,20000,15,0.996,1.004,7,33,6,355,354,303.123173497651,,
1h,20000,15,0.996,1.004,7,31,7,351,350,303.100257048158,,
1h,20000,15,0.996,1.004,7,31,7,351,350,303.100257048158,,
1h,20000,15,0.996,1.004,7,37,3,439,438,298.160396338619,,
1h,20000,15,0.996,1.004,7,33,5,387,386,295.63092026605,,
1h,20000,15,0.996,1.004,7,32,9,312,311,291.687463442327,,
1h,20000,15,0.996,1.004,7,32,8,327,326,286.958160073193,,
1h,20000,15,0.996,1.004,7,32,8,327,326,286.958160073193,,
1h,20000,15,0.996,1.004,7,32,6,364,363,285.788812580831,,
1h,20000,15,0.996,1.004,7,30,7,358,357,284.97600090449,,
1h,20000,15,0.996,1.004,7,32,7,346,345,281.825687227061,,
1h,20000,15,0.996,1.004,7,32,7,346,345,281.825687227061,,
1h,20000,15,0.996,1.004,7,32,5,400,399,280.705527932817,,
1h,20000,15,0.996,1.004,7,33,7,341,340,279.964810423356,,
1h,20000,15,0.996,1.004,7,33,7,341,340,279.135272109494,,
1h,20000,15,0.996,1.004,7,31,6,377,376,278.931546125015,,
1h,20000,15,0.996,1.004,7,30,6,387,386,278.824043653665,,
1h,20000,15,0.996,1.004,7,30,9,324,323,265.138243693163,,
1h,20000,15,0.996,1.004,7,29,4,458,457,264.109435081855,,
1h,20000,15,0.996,1.004,7,34,4,418,417,263.230289479462,,
1h,20000,15,0.996,1.004,7,30,5,414,413,263.098504632115,,
1h,20000,15,0.996,1.004,7,31,9,319,318,263.093915423268,,
1h,20000,15,0.996,1.004,7,36,3,453,452,262.820743504339,,
1h,20000,15,0.996,1.004,7,30,8,343,342,259.683901504586,,
1h,20000,15,0.996,1.004,7,25,4,497,496,251.22277163347,,
1h,20000,15,0.996,1.004,7,22,4,528,527,251.217419651333,,
1h,20000,15,0.996,1.004,7,31,8,338,337,250.87667215049,,
1h,20000,15,0.996,1.004,7,31,8,338,337,250.87667215049,,
1h,20000,15,0.996,1.004,7,33,4,429,428,249.562994455356,,
1h,20000,15,0.996,1.004,7,33,4,429,428,249.562994455356,,
1h,20000,15,0.996,1.004,7,31,5,408,407,248.849338461692,,
1h,20000,15,0.996,1.004,7,23,4,517,516,245.519380267282,,
1h,20000,15,0.996,1.004,7,37,2,524,523,243.98898994573,,
1h,20000,15,0.996,1.004,7,39,2,493,492,242.258374411394,,
1h,20000,15,0.996,1.004,7,38,2,502,501,241.98717180447,,
