1h,20000,15,2,1963,1963,3694824382.1109138
1h,20000,15,3,1637,1637,241652139.9858522
1h,20000,15,4,1446,1446,31559472.129732974
1h,20000,15,5,1265,1265,7015921.513040832
1h,20000,15,6,1141,1141,2587793.583288896
1h,20000,15,7,1063,1063,1109048.3705283992
1h,20000,15,8,973,973,543214.3941060646
1h,20000,15,9,907,907,397211.54641823075
1h,20000,16,2,1880,1880,2562511065.3758144
1h,20000,16,3,1588,1588,181948131.10685262
1h,20000,16,4,1393,1393,26362454.95517011
1h,20000,16,5,1221,1221,5399468.319165438
1h,20000,16,6,1111,1111,2055489.134553935
1h,20000,16,7,1018,1018,792849.9156651866
1h,20000,16,8,941,941,558316.2536844786
1h,20000,16,9,873,872,326754.11168321397
1h,20000,17,2,1824,1824,1935256657.4559278
1h,20000,17,3,1550,1550,128960072.44664533
1h,20000,17,4,1337,1337,21360226.450395778
1h,20000,17,5,1193,1193,5116840.563261051
1h,20000,17,6,1077,1077,1538479.256965703
1h,20000,17,7,980,980,722644.2553239937
1h,20000,17,8,908,907,486959.7001917998
1h,20000,17,9,851,850,243761.80093462477
1h,20000,18,2,1773,1773,1380063591.266017
1h,20000,18,3,1501,1501,117975305.85976821
1h,20000,18,4,1301,1301,15740669.20511869
1h,20000,18,5,1156,1156,4022090.4577398617
1h,20000,18,6,1039,1039,1287827.9930369367
1h,20000,18,7,951,950,668444.8396302599
1h,20000,18,8,875,874,347903.25175675994
1h,20000,18,9,837,836,232478.92460349522
1h,20000,19,2,1719,1719,1038618414.4793682
1h,20000,19,3,1470,1470,84283512.84711
1h,20000,19,4,1258,1258,12585539.416316109
1h,20000,19,5,1121,1121,3007457.3740506945
1h,20000,19,6,1015,1014,1151876.9119853326
1h,20000,19,7,908,907,586721.7076308042
1h,20000,19,8,854,853,308193.7008570563
1h,20000,19,9,809,808,201928.30216486487
1h,20000,20,2,1674,1674,856695614.1466484
1h,20000,20,3,1416,1416,61950853.13940118
1h,20000,20,4,1222,1222,10380932.293518025
1h,20000,20,5,1089,1089,2520892.2287036157
1h,20000,20,6,970,969,908065.7051604151
1h,20000,20,7,885,884,467925.1984167781
1h,20000,20,8,838,837,290220.4764895072
1h,20000,20,9,785,784,186697.507728615
1h,20000,21,2,1626,1626,648449717.9239202
1h,20000,21,3,1375,1375,52770259.48206781
1h,20000,21,4,1190,1190,9220569.410732385
1h,20000,21,5,1057,1057,2186874.1532958183
1h,20000,21,6,943,942,796988.5154761123
1h,20000,21,7,877,876,457871.5826559094
1h,20000,21,8,824,823,260138.57522056933
1h,20000,21,9,769,768,155801.8507601892
1h,20000,22,2,1571,1571,478304800.5461663
1h,20000,22,3,1339,1339,46538235.949440666
1h,20000,22,4,1155,1155,8532798.657364283
1h,20000,22,5,1022,1022,1833653.1994009435
1h,20000,22,6,932,931,778661.3847222576
1h,20000,22,7,866,865,417369.8628701426
1h,20000,22,8,806,805,241637.62562943457
1h,20000,22,9,742,741,133757.1968740417
1h,20000,23,2,1552,1552,406208075.9687365
1h,20000,23,3,1318,1318,34770445.23715746
1h,20000,23,4,1131,1131,7092870.676118677
1h,20000,23,5,1002,1001,1596744.543122052
1h,20000,23,6,922,921,743025.480259315
1h,20000,23,7,855,854,363944.5496098938
1h,20000,23,8,785,784,199354.11330903805
1h,20000,23,9,723,722,131131.62299866954
1h,20000,24,2,1534,1534,335583320.4528029
1h,20000,24,3,1298,1298,33978379.7127458
1h,20000,24,4,1118,1117,5815382.4119646195
1h,20000,24,5,1009,1008,1543975.3300412593
1h,20000,24,6,903,902,706483.9212524261
1h,20000,24,7,825,824,339999.0821041151
1h,20000,24,8,760,759,196840.58565885035
