



best performing dema :
2, 3/4/5/6/7/8/9/10/11/12/13
3, 4/5/6/7/8













1h	20000	3	2	3936	3936	15079577313775.3
1h	20000	4	2	3498	3498	6000968767305.81
1h	20000	5	2	3167	3167	2024186404409.7
1h	20000	6	2	2922	2922	707291728657.055
1h	20000	4	3	2942	2942	463280769441.156
1h	20000	7	2	2706	2706	317976627349.64
1h	20000	8	2	2568	2568	129673533901.693
1h	20000	5	3	2635	2635	96279036195.3804
1h	20000	9	2	2438	2438	62814112815.623
1h	20000	10	2	2323	2323	32448900566.0271
1h	20000	6	3	2444	2444	29760442112.8331
1h	20000	11	2	2255	2255	17855274657.4403
1h	20000	7	3	2291	2291	14447911022.6589
1h	20000	12	2	2184	2184	12500998437.693
1h	20000	5	4	2333	2333	10321097029.4599
1h	20000	13	2	2082	2082	8310892494.5361
1h	20000	8	3	2135	2135	5825935095.05719
1h	20000	14	2	2018	2018	5505407241.98648
1h	20000	15	2	1963	1963	3694824382.11091
1h	20000	6	4	2130	2130	3614387411.63443
1h	20000	16	2	1880	1880	2562511065.37581
1h	20000	9	3	2048	2048	2354489053.74776
1h	20000	17	2	1824	1824	1935256657.45593
1h	20000	10	3	1967	1967	1419123378.28792
1h	20000	18	2	1773	1773	1380063591.26602
1h	20000	7	4	1988	1988	1150942928.43401
1h	20000	19	2	1719	1719	1038618414.47937
1h	20000	11	3	1900	1900	876805644.519299
1h	20000	20	2	1674	1674	856695614.146648
1h	20000	12	3	1829	1829	675633192.66958
1h	20000	21	2	1626	1626	648449717.92392
1h	20000	6	5	1913	1913	562870753.205162
1h	20000	13	3	1770	1770	512935780.968311
1h	20000	8	4	1875	1875	496082525.267431
1h	20000	22	2	1571	1571	478304800.546166
1h	20000	23	2	1552	1552	406208075.968737
1h	20000	24	2	1534	1534	335583320.452803
1h	20000	14	3	1695	1695	322612410.370698
1h	20000	9	4	1799	1799	268617810.265811
1h	20000	25	2	1509	1509	263900964.510938
1h	20000	15	3	1637	1637	241652139.985852
1h	20000	26	2	1480	1480	211993799.116524
1h	20000	7	5	1794	1794	209454914.831802
1h	20000	27	2	1455	1454	183127787.684442
1h	20000	16	3	1588	1588	181948131.106853
1h	20000	10	4	1716	1716	171527060.897458
1h	20000	28	2	1407	1406	148401061.804584
1h	20000	17	3	1550	1550	128960072.446645
1h	20000	11	4	1648	1648	122828538.817919
1h	20000	18	3	1501	1501	117975305.859768


